Country,Commitment in U.A,Status,Source of Financing,Sector
Benin,7332136.56,Completion,African Development Fund,Transport
Malawi,11793131.37,Completion,,Transport
Ghana,23060375.13,Completion,,Transport
Botswana,1078047.85,Completion,African Development Fund,Transport
Côte d'Ivoire,56200000.0,Completion,African Development Bank,Transport
Zimbabwe,15710635.0,Completion,African Development Bank,Transport
Burundi,16474881.79,Completion,,Transport
Mali,11111483.1,Completion,,Transport
Cameroon,1638352.88,Cancelled,,Transport
Madagascar,528777.06,Completion,African Development Fund,Transport
Angola,309694.39,Cancelled,African Development Fund,Transport
Seychelles,5633058.57,Completion,,Transport
,,,,
Sudan,15958293.39,Completion,African Development Fund,Transport
Equatorial Guinea,134289.38,Completion,African Development Fund,Transport
Madagascar,9022102.1,Completion,,Transport
Ex Zaire,14301688.41,Completion,,Transport
Lesotho,8227811.11,Completion,African Development Bank,Transport
Benin,1046201.07,Completion,,Transport
Cape Verde,503469.91,Cancelled,,Transport
Lesotho,5963811.65,Completion,,Transport
Botswana,9277059.7,Completion,,Transport
Guinea-Bissau,10649868.05,Completion,,Transport
Mauritius,4179410.48,Completion,,Transport
Multinational,1239657.67,Completion,,Transport
Multinational,900612.1,Completion,,Transport
Guinea,13815780.0,Completion,African Development Fund,Transport
Sao Tome and Principe,193156.47,Completion,African Development Fund,Transport
Ex Zaire,13800000.0,Completion,,Transport
Equatorial Guinea,100000.0,Completion,African Development Bank,Transport
Liberia,17583145.54,Cancelled,African Development Bank,Transport
Liberia,11280631.3,Completion,African Development Fund,Transport
Liberia,20000000.0,Cancelled,African Development Bank,Transport
,,,,
Lesotho,628677.68,Completion,,Transport
Malawi,11238755.61,Completion,,Transport
Niger,9210520.0,Cancelled,,Transport
Madagascar,28951390.3,Completion,,Transport
Lesotho,5745341.08,Completion,African Development Fund,Transport
Rwanda,8402928.95,Completion,,Transport
Uganda,2583373.25,Completion,African Development Bank,Transport
Madagascar,34356962.4,Completion,,Transport
Burkina Faso,4789469.99,Completion,,Transport
Kenya,26944049.65,Completion,,Transport
Niger,2302630.01,Completion,African Development Fund,Transport
Botswana,12433960.54,Completion,,Transport
Ethiopia,15686424.71,Completion,,Transport
Guinea,12452553.29,Completion,African Development Bank,Transport
Tunisia,7005816.97,Completion,African Development Bank,Transport
"Tanzania, United Republic of",3510996.85,Completion,African Development Fund,Transport
"Tanzania, United Republic of",9986310.17,Completion,African Development Fund,Transport
Angola,446848.22,Cancelled,,Transport
Kenya,5990658.62,Completion,African Development Fund,Transport
Cameroon,22800000.0,Completion,,Transport
,,,,
Ex Zaire,15479270.43,Completion,,Transport
Ex Zaire,19065776.42,Completion,,Transport
Central African Republic,8006106.91,Completion,,Transport
Gambia,6982380.01,Completion,,Transport
Cameroon,11326628.11,Completion,African Development Bank,Transport
Gambia,3714591.81,Completion,,Transport
Mali,1663942.82,Cancelled,African Development Bank,Transport
Senegal,4907294.41,Completion,African Development Bank,Transport
Comoros,6185338.42,Completion,,Transport
Togo,4999496.69,Completion,African Development Fund,Transport
Burkina Faso,9171379.21,Completion,,Transport
Guinea-Bissau,9019356.05,Completion,,Transport
Eswatini,4114888.59,Completion,,Transport
Comoros,4231470.26,Completion,,Transport
Chad,12978047.83,Completion,African Development Fund,Transport
Comoros,9669655.16,Completion,African Development Bank,Transport
Ex Zaire,9999857.72,Completion,African Development Bank,Transport
Ethiopia,10943383.65,Completion,,Transport
Mali,11052623.98,Completion,,Transport
Sierra Leone,6445822.42,Completion,African Development Fund,Transport
,,,,
Kenya,8798567.35,Completion,African Development Bank,Transport
Burundi,10619325.77,Completion,,Transport
Ghana,10000000.0,Completion,,Transport
Burundi,9995755.06,Completion,African Development Bank,Transport
Congo,9064197.99,Completion,,Transport
Benin,7376501.84,Completion,African Development Fund,Transport
Rwanda,9196868.64,Completion,,Transport
Cameroon,10000000.0,Completion,,Transport
Kenya,9999379.14,Completion,African Development Bank,Transport
Cape Verde,12049999.99,Completion,African Development Bank,Transport
Kenya,5299961.21,Completion,,Transport
Multinational,1081591.89,Completion,African Development Fund,Transport
Sao Tome and Principe,1000000.0,Completion,Nigerian Trust Fund,Transport
Ethiopia,7114729.91,Completion,,Transport
Mauritius,3404835.54,Completion,,Transport
Lesotho,5618417.2,Completion,African Development Fund,Transport
Equatorial Guinea,500000.0,Completion,African Development Bank,Transport
Zambia,7983690.85,Completion,African Development Bank,Transport
Botswana,7870085.66,Completion,,Transport
Cameroon,650261.81,Completion,African Development Bank,Transport
,,,,
Rwanda,3960523.6,Completion,,Transport
Gambia,3900000.0,Completion,,Transport
Lesotho,7911315.41,Completion,African Development Bank,Transport
Mozambique,4699694.08,Cancelled,African Development Fund,Transport
Ex Zaire,7995069.05,Completion,African Development Bank,Transport
Malawi,7368415.95,Completion,,Transport
Senegal,6143805.14,Completion,African Development Bank,Transport
Burkina Faso,7365599.21,Completion,African Development Fund,Transport
Uganda,5000000.0,Completion,,Transport
Benin,2409498.67,Completion,Nigerian Trust Fund,Transport
Central African Republic,4784069.92,Completion,,Transport
Comoros,3706950.22,Completion,African Development Fund,Transport
Congo,9999999.98,Completion,African Development Bank,Transport
Seychelles,4820862.78,Completion,,Transport
Mali,7828941.56,Completion,African Development Fund,Transport
Eswatini,11648528.26,Completion,,Transport
Burundi,682988.5,Completion,African Development Fund,Transport
Botswana,637901.65,Completion,African Development Bank,Transport
Côte d'Ivoire,7503281.92,Completion,,Transport
Ghana,5793657.47,Completion,African Development Bank,Transport
,,,,
Multinational,5958878.62,Completion,African Development Bank,Transport
Burkina Faso,5851086.3,Completion,African Development Fund,Transport
Benin,7150724.63,Completion,African Development Fund,Transport
Ethiopia,6447364.0,Completion,African Development Fund,Transport
Lesotho,6158909.28,Completion,African Development Fund,Transport
Kenya,4100000.0,Completion,African Development Bank,Transport
Tunisia,3945381.45,Completion,African Development Bank,Transport
Liberia,4999999.82,Completion,African Development Bank,Transport
Somalia,4549360.43,Completion,,Transport
Mozambique,7368416.0,Cancelled,,Transport
Madagascar,9270245.57,Completion,,Transport
Malawi,24722481.88,Completion,,Transport
Senegal,4861893.47,Completion,African Development Bank,Transport
"Tanzania, United Republic of",7368416.95,Completion,,Transport
Cameroon,10000000.0,Completion,African Development Bank,Transport
Togo,4973544.37,Cancelled,African Development Bank,Transport
Gambia,1982195.56,Completion,Nigerian Trust Fund,Transport
Multinational,4999461.0,Completion,African Development Bank,Transport
Guinea-Bissau,8579970.74,Completion,African Development Fund,Transport
Ex Zaire,1000000.0,Completion,African Development Bank,Transport
,,,,
Niger,2684816.81,Completion,African Development Fund,Transport
Mauritius,5581984.01,Completion,,Transport
Botswana,4562763.76,Completion,African Development Fund,Transport
Togo,12128505.09,Completion,African Development Fund,Transport
Liberia,4984982.27,Completion,African Development Bank,Transport
Cameroon,1760000.0,Completion,African Development Bank,Transport
Kenya,3000000.0,Completion,African Development Bank,Transport
Eswatini,170000.0,Completion,African Development Bank,Transport
Tunisia,5000000.0,Completion,African Development Bank,Transport
Congo,5000000.0,Completion,African Development Bank,Transport
Burundi,15080290.27,Completion,,Transport
Malawi,275998.12,Completion,African Development Fund,Transport
Ex Zaire,1635968.05,Completion,,Transport
Lesotho,710932.3,Completion,African Development Fund,Transport
Togo,4144735.32,Completion,African Development Fund,Transport
"Tanzania, United Republic of",4605260.0,Completion,,Transport
Benin,3852451.99,Completion,African Development Bank,Transport
"Tanzania, United Republic of",4000000.0,Completion,,Transport
Rwanda,414473.4,Completion,,Transport
Senegal,3471796.62,Completion,African Development Fund,Transport
,,,,
Somalia,2763155.24,Completion,African Development Fund,Transport
Senegal,199982.49,Completion,African Development Bank,Transport
Burkina Faso,368420.8,Completion,African Development Fund,Transport
Nigeria,2346074.18,Completion,African Development Bank,Transport
Sudan,3684207.89,Completion,African Development Fund,Transport
Kenya,2782218.17,Completion,African Development Bank,Transport
Malawi,500000.0,Completion,African Development Bank,Transport
Tunisia,3900000.0,Completion,African Development Bank,Transport
Benin,147368.32,Completion,African Development Fund,Transport
Mali,317051.21,Completion,African Development Fund,Transport
Côte d'Ivoire,3300000.0,Completion,African Development Bank,Transport
Congo,3000000.0,Completion,African Development Bank,Transport
Sudan,2990369.74,Completion,African Development Bank,Transport
Multinational,3615445.95,Completion,African Development Bank,Transport
Ex Zaire,2500000.0,Completion,,Transport
Senegal,1100000.0,Completion,African Development Bank,Transport
Multinational,2072367.06,Completion,African Development Bank,Transport
Cameroon,3000000.0,Completion,African Development Bank,Transport
Uganda,725154.05,Completion,African Development Bank,Transport
Congo,2300000.0,Completion,African Development Bank,Transport
,,,,
Tunisia,835578.51,Completion,African Development Bank,Transport
Multinational,2999999.99,Cancelled,African Development Bank,Transport
Nigeria,3155796.08,Completion,African Development Bank,Transport
Kenya,3000000.0,Completion,African Development Bank,Transport
Somalia,901195.12,Completion,,Transport
Sudan,2800000.0,Completion,African Development Bank,Transport
Algeria,3000000.0,Completion,African Development Bank,Transport
"Tanzania, United Republic of",2663326.05,Completion,African Development Bank,Transport
Kenya,2300000.0,Completion,African Development Bank,Transport
